cid,page,from,vupload,part,duration,vid,weblink,dimension
214628598,1,vupload,,00-课程介绍,123,,,"{'width': 1920, 'height': 1080, 'rotate': 0}"
214628654,2,vupload,,01-多任务介绍,246,,,"{'width': 1440, 'height': 900, 'rotate': 0}"
214628729,3,vupload,,02-进程介绍,277,,,"{'width': 1440, 'height': 900, 'rotate': 0}"
214628770,4,vupload,,03-使用多进程来完成多任务,659,,,"{'width': 1440, 'height': 900, 'rotate': 0}"
214628906,5,vupload,,04-进程执行带有参数的任务,777,,,"{'width': 1440, 'height': 900, 'rotate': 0}"
214629055,6,vupload,,05-获取进程的编号,631,,,"{'width': 1440, 'height': 900, 'rotate': 0}"
214629151,7,vupload,,06-进程注意点,495,,,"{'width': 1440, 'height': 900, 'rotate': 0}"
214629255,8,vupload,,07-案例-多进程实现传智视频文件夹多任务拷贝器,770,,,"{'width': 1440, 'height': 900, 'rotate': 0}"
214629350,9,vupload,,08-线程介绍,191,,,"{'width': 1440, 'height': 900, 'rotate': 0}"
214629428,10,vupload,,09-使用多线程执行多任务,360,,,"{'width': 1440, 'height': 900, 'rotate': 0}"
214629520,11,vupload,,10-线程执行带有参数的任务,450,,,"{'width': 1440, 'height': 900, 'rotate': 0}"
214629639,12,vupload,,11-主线程和子线程的结束顺序,494,,,"{'width': 1440, 'height': 900, 'rotate': 0}"
214629770,13,vupload,,12-线程之间的执行顺序是无序,433,,,"{'width': 1440, 'height': 900, 'rotate': 0}"
214629890,14,vupload,,13-线程和进程的对比,137,,,"{'width': 1440, 'height': 900, 'rotate': 0}"
214629936,15,vupload,,14-案例-多线程实现传智视频文件夹多任务拷贝器,668,,,"{'width': 1440, 'height': 900, 'rotate': 0}"
214630109,16,vupload,,15-总结,92,,,"{'width': 1920, 'height': 1080, 'rotate': 0}"
